"Abelmoschus esculentus","Lady's fingers","1"
"Abrus precatorius","Black-eyed Susan","4"
"Abrus precatorius","Indian bead or bean","4"
"Abrus precatorius","Jequirity bean","4"
"Abrus precatorius","Licorice vine","4"
"Abrus precatorius","Licorice, Indian","4"
"Abrus precatorius","Licorice, wild","4"
"Abrus precatorius","Love bean","4"
"Abrus precatorius","Lucky bean","4"
"Abrus precatorius","Prayer bead or bean","4"
"Abrus precatorius","Precatory pea or bean","4"
"Abrus precatorius","Rosary bean or pea","4"
"Abrus precatorius","Seminole bead","4"
"Abrus precatorius","Wild licorice","4"
"Abutilon hybridum","Chinese lantern","1"
"Abutilon hybridum","Flowering maple","1"
"Acalypha hispida","Chenille plant","1,3"
"Acalypha hispida","Foxtail","1,3"
"Acalypha hispida","Red hot cat tail","1,3"
"Acalypha wilkesiana","Fire-dragon","3"
"Acalypha wilkesiana","Match-me-if-you-can","1"
"Achillea millefolium","Gordoloba","1,3"
"Achillea millefolium","Yarrow","1, 3"
"Acokanthera spp","Poison bush","4"
"Aconitium napellus","Aconite","4"
"Aconitium napellus","Helmet flower","4"
"Aconitium napellus","Monkshood","4"
"Aconitium napellus","Wolfsbane","4"
"Acorus calamus","Sweet flag","1"
"Actaea rubra","Baneberry","1,4"
"Actaea spicata","Cohosh","1,4"
"Actaea spicata","Coralberry","1,4"
"Actaea spicata","Dolls-eyes","1,4"
"Actaea spicata","Snakeberry","1,4"
"Adenium obesum","Desert rose","4"
"Aesculus californica","California buckeye","3"
"Aesculus glabra","Ohio buckeye","3"
"Aesculus pavia","Fire cracker plant","3"
"Aesculus spp","Buckeye","3"
"Aesculus spp","Horse chestnut","3"
"Aethusa cynapium","False parsley","4"
"Aethusa cynapium","Fool's parsley","4"
"Agapanthus spp","African lily","1"
"Agapanthus spp","Agapanthus","1"
"Agapanthus spp","Lily of the Nile","1"
"Agave americana","Century plant","1,3"
"Agave uthaensis—do not confuse with Lophophora williamsii (peyote)","Mescal—do not confuse with Lophophora williamsii (peyote)","1,3"
"Ageratum conyzoides","Pussy foot","3"
"Aleurites fordii","Kalo nut","1,3"
"Aleurites moluccana","Candle berry tree","1,3"
"Aleurites moluccana","Candlenut oil tree","1,3"
"Aleurites moluccana","Varnish tree","1,3"
"Allium ampeloprasum","Elephant garlic","1,3"
"Allium ampeloprasum","Wild leek","1,3"
"Allium cepa","Onion (large quantities)","1,3"
"Allium cernuum","Onion, wild","1,3"
"Allium sativum","Allium","1,3"
"Allium sativum","Garlic","1,3"
"Allium sativum","Nectar of the gods","1,3"
"Allium sativum","Stinking rose","1,3"
"Allium spp","Wild garlic","1,3"
"Allium spp","Wild onion","1,3"
"Alnus spp","Alder tree","1"
"Alocasia","Elephant's ear","1,2a"
"Alocasia macrorrhiza","Taro","2a"
"Alocasia spp","Alocasia","2a"
"Aloe barbadensis","Aloe vera","1,3"
"Aloe barbadensis","Indian aloe","1,3"
"Aloe barbadensis","Medicinal aloe","1,3"
"Aloe spp","Medicine plant","1,3"
"Alstroemeria aurantiaca","Alstroemeria","1,3"
