id,observed_on,quality_grade,captive_cultivated,place_guess,private_place_guess,scientific_name,common_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_subphylum_name,taxon_superclass_name,taxon_class_name,taxon_subclass_name,taxon_superorder_name,taxon_order_name,taxon_suborder_name,taxon_superfamily_name,taxon_family_name,taxon_subfamily_name,taxon_supertribe_name,taxon_tribe_name,taxon_subtribe_name,taxon_genus_name,taxon_species_name
9040023,2016-07-03,research,false,"Coyote Hills Regional Park, Fremont, CA, USA",,Pelecanus erythrorhynchos,American White Pelican,4334,Animalia,Chordata,Vertebrata,,Aves,,,Pelecaniformes,,,Pelecanidae,,,,,Pelecanus,Pelecanus erythrorhynchos
9040532,2017-11-12,research,false,"Mohihi Road, Kauai, HI, USA",,Copsychus malabaricus,White-rumped Shama,204490,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Muscicapidae,,,,,Copsychus,Copsychus malabaricus
9040581,2012-04-07,research,false,"Mission Peak Regional Preserve, Alameda County, CA, USA",,Buteo jamaicensis,Red-tailed Hawk,5212,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,Accipitridae,,,,,Buteo,Buteo jamaicensis
9040635,2017-06-04,research,false,"Five Canyons Open Space, Alameda County, CA, USA",,Cathartes aura,Turkey Vulture,4756,Animalia,Chordata,Vertebrata,,Aves,,,Cathartiformes,,,Cathartidae,,,,,Cathartes,Cathartes aura
9040681,2015-01-18,research,false,"Fremont Older Open Space Preserve, Santa Clara County, CA, USA",,Lynx rufus,Bobcat,41976,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Felidae,Felinae,,,,Lynx,Lynx rufus
9040715,2017-03-25,needs_id,false,"Purisima Creek Redwoods Open Space Preserve, San Mateo County, CA, USA",,Lumbricus terrestris,Common Earthworm,81545,Animalia,Annelida,,,Clitellata,Oligochaeta,,Haplotaxida,,,Lumbricidae,,,,,Lumbricus,Lumbricus terrestris
9040775,2017-04-30,needs_id,false,"Rancho Cañada del Oro Open Space Preserve, San Jose, CA, USA",,Nemognathinae,,127903,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Tenebrionoidea,Meloidae,Nemognathinae,,,,,
9040914,2017-05-14,research,false,"Monte Bello Open Space Preserve, Palo Alto, CA, USA",,Malacosoma constricta,Pacific Tent Caterpillar,477142,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Lasiocampoidea,Lasiocampidae,Lasiocampinae,,Lasiocampini,,Malacosoma,Malacosoma constricta
9041113,2017-09-23,research,false,"Skyline to the Sea Trail, Castle Rock State Park, CA, USA",,Trimerotropis fontana,Fontana Grasshopper,155260,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Orthoptera,Caelifera,Acridoidea,Acrididae,Oedipodinae,,Trimerotropini,,Trimerotropis,Trimerotropis fontana
9041153,2017-05-14,research,false,"Monte Bello Open Space Preserve, Palo Alto, CA, USA",,Hyles lineata,White-lined Sphinx,49348,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Bombycoidea,Sphingidae,Macroglossinae,,Macroglossini,Choerocampina,Hyles,Hyles lineata
9041228,2017-08-18,needs_id,false,"California, US","Santa Clara, CA, USA",Lepidoptera,Butterflies and Moths,47157,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,,,,,,,,
9041269,2017-06-14,research,false,"Yosemite Falls Trail, Yosemite National Park, CA, USA",,Plestiodon gilberti gilberti,Greater Brown Skink,115966,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Sauria,,Scincidae,Scincinae,,,,Plestiodon,Plestiodon gilberti
9041353,2017-05-06,needs_id,false,"Sunol Regional Wilderness, Alameda County, CA, USA",,Pholcus,,67329,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Pholcoidea,Pholcidae,,,,,Pholcus,
9041376,2017-11-09,research,false,"Kohua Ridge, Kauai, HI, USA",,Argiope trifasciata kauaiensis,Kauai Spooky Face Spider,349131,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Araneidae,Argiopinae,,,,Argiope,Argiope trifasciata
9041445,2017-11-07,needs_id,false,"Honopu Trail, Kauai, USA",,Araneidae,Orbweavers,47535,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Araneidae,,,,,,
9041458,2017-04-19,research,false,"California, US","Santa Clara, CA, USA",Zoropsis spinimana,Mediterranean Spiny False Wolf Spider,127112,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Lycosoidea,Zoropsidae,,,,,Zoropsis,Zoropsis spinimana
9041531,2007-06-19,needs_id,false,"Bryce Canyon National Park, UT, USA",,Oenothera howardii,Howard's Evening Primrose,165801,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Myrtales,,,Onagraceae,,,,,Oenothera,Oenothera howardii
9041542,2016-04-24,research,false,"Harvey Bear Ranch County Park, Santa Clara County, CA, USA",,Castilleja rubicundula lithospermoides,cream sacs,57269,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Orobanchaceae,,,Pedicularideae,,Castilleja,Castilleja rubicundula
9041579,2017-04-11,needs_id,false,"Coyote Hills Regional Park, Fremont, CA, USA",,Dimorphotheca fruticosa,trailing African daisy,76661,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,,Calenduleae,,Dimorphotheca,Dimorphotheca fruticosa
9041676,2016-03-20,research,false,"Pinnacles National Park, San Benito County, CA, USA",,Lewisia rediviva,Bitterroot,47360,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Montiaceae,,,,,Lewisia,Lewisia rediviva
9041711,2016-03-20,needs_id,false,"San Benito County, US-CA, US","Pinnacles National Park, San Benito County, CA, USA",Diplacus,,157750,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Phrymaceae,,,,,Diplacus,
9041740,2017-03-23,research,false,"Stevens Creek Trail, Mountain View, CA, USA",,Vicia sativa,Common Vetch,53324,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,,Fabeae,,Vicia,Vicia sativa
9043381,2017-05-25,research,false,"Skyline Ridge Open Space Preserve, CA, USA",,Tragopogon porrifolius,purple salsify,54141,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,,Cichorieae,Scorzonerinae,Tragopogon,Tragopogon porrifolius
9043687,2016-05-22,needs_id,false,"Joseph D. Grant County Park, San Jose, CA, USA",,Spergularia rubra,Red Sand Spurrey,55730,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,,,Sperguleae,,Spergularia,Spergularia rubra
9043725,2016-07-31,casual,true,"Joaquin Miller Park, Oakland, CA, USA",,Impatiens balfourii,Kashmir Balsam,77490,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,Balsaminaceae,,,,,Impatiens,Impatiens balfourii
