id,observed_on,quality_grade,place_guess,private_place_guess,scientific_name,common_name,taxon_id,taxon_kingdom_name,taxon_family_name
9040023,2016-07-03,research,"Coyote Hills Regional Park, Fremont, CA, USA",,Pelecanus erythrorhynchos,American White Pelican,4334,Animalia,Pelecanidae
9040532,2017-11-12,research,"Mohihi Road, Kauai, HI, USA",,Copsychus malabaricus,White-rumped Shama,204490,Animalia,Muscicapidae
9040581,2012-04-07,research,"Mission Peak Regional Preserve, Alameda County, CA, USA",,Buteo jamaicensis,Red-tailed Hawk,5212,Animalia,Accipitridae
9040635,2017-06-04,research,"Five Canyons Open Space, Alameda County, CA, USA",,Cathartes aura,Turkey Vulture,4756,Animalia,Cathartidae
9040681,2015-01-18,research,"Fremont Older Open Space Preserve, Santa Clara County, CA, USA",,Lynx rufus,Bobcat,41976,Animalia,Felidae
9040715,2017-03-25,needs_id,"Purisima Creek Redwoods Open Space Preserve, San Mateo County, CA, USA",,Lumbricus terrestris,Common Earthworm,81545,Animalia,Lumbricidae
9040775,2017-04-30,needs_id,"Rancho Cañada del Oro Open Space Preserve, San Jose, CA, USA",,Nemognathinae,,127903,Animalia,Meloidae
9040914,2017-05-14,research,"Monte Bello Open Space Preserve, Palo Alto, CA, USA",,Malacosoma constricta,Pacific Tent Caterpillar,477142,Animalia,Lasiocampidae
9041113,2017-09-23,research,"Skyline to the Sea Trail, Castle Rock State Park, CA, USA",,Trimerotropis fontana,Fontana Grasshopper,155260,Animalia,Acrididae
9041153,2017-05-14,research,"Monte Bello Open Space Preserve, Palo Alto, CA, USA",,Hyles lineata,White-lined Sphinx,49348,Animalia,Sphingidae
9041228,2017-08-18,needs_id,"California, US","Santa Clara, CA, USA",Lepidoptera,Butterflies and Moths,47157,Animalia,
9041269,2017-06-14,research,"Yosemite Falls Trail, Yosemite National Park, CA, USA",,Plestiodon gilberti gilberti,Greater Brown Skink,115966,Animalia,Scincidae
9041353,2017-05-06,needs_id,"Sunol Regional Wilderness, Alameda County, CA, USA",,Pholcus,,67329,Animalia,Pholcidae
9041376,2017-11-09,research,"Kohoa Ridge, Kauai, HI, USA",,Argiope trifasciata kauaiensis,Kauai Spooky Face Spider,349131,Animalia,Araneidae
9041445,2017-11-07,needs_id,"Honopu Trail, Kauai, USA",,Araneidae,Orbweavers,47535,Animalia,Araneidae
9041458,2017-04-19,research,"California, US","Santa Clara, CA, USA",Zoropsis spinimana,Mediterranean Spiny False Wolf Spider,127112,Animalia,Zoropsidae
9041531,2007-06-19,needs_id,"Bryce Canyon National Park, UT, USA",,Oenothera howardii,Howard's Evening Primrose,165801,Plantae,Onagraceae
9041542,2016-04-24,research,"Harvey Bear Ranch County Park, Santa Clara County, CA, USA",,Castilleja rubicundula lithospermoides,cream sacs,57269,Plantae,Orobanchaceae
9041579,2017-04-11,casual,"Coyote Hills Regional Park, Fremont, CA, USA",,Dimorphotheca fruticosa,trailing African daisy,76661,Plantae,Asteraceae
9041676,2016-03-20,research,"Pinnacles National Park, San Benito County, CA, USA",,Lewisia rediviva,Bitterroot,47360,Plantae,Montiaceae
9041711,2016-03-20,research,"Pinnacles National Park, San Benito County, CA, USA",,Diplacus congdonii,Congdon's monkeyflower,771817,Plantae,Phrymaceae
9041740,2017-03-23,research,"Stevens Creek Trail, Mountain View, CA, USA",,Vicia sativa,Common Vetch,53324,Plantae,Fabaceae
