id,observed_on,quality_grade,place_guess,latitude,longitude,private_latitude,private_longitude,scientific_name,common_name
9041531,2007-06-19,needs_id,"Bryce Canyon National Park, UT, USA",37.6310909631,-112.1486091614,,,Oenothera howardii,Howard's Evening Primrose
9041542,2016-04-24,research,"Harvey Bear Ranch County Park, Santa Clara County, CA, USA",37.1144041959,-121.5630339284,,,Castilleja rubicundula lithospermoides,cream sacs
9041579,2017-04-11,needs_id,"Coyote Hills Regional Park, Fremont, CA, USA",37.5596836427,-122.1277570724,,,Dimorphotheca,Afro-Australian daisies
9041676,2016-03-20,research,"Pinnacles National Park, San Benito County, CA, USA",36.4901793753,-121.1856365208,,,Lewisia rediviva,Oregon Bitterroot
9041711,2016-03-20,research,"Pinnacles National Park, San Benito County, CA, USA",36.4865215501,-121.1753356988,,,Diplacus congdonii,Congdon's monkeyflower
9041740,2017-03-23,needs_id,"Stevens Creek Trail, Mountain View, CA, USA",37.4038020745,-122.0693142915,,,Vicia sativa nigra,narrow-leaved vetch
9043381,2017-05-25,research,"Skyline Ridge Open Space Preserve, CA, USA",37.3066331952,-122.1669602394,,,Tragopogon porrifolius,Salsify
9043687,2016-05-22,needs_id,"Joseph D. Grant County Park, San Jose, CA, USA",37.3216054613,-121.7109161359,,,Spergularia rubra,Red Sand Spurrey
9043725,2016-07-31,casual,"Joaquin Miller Park, Oakland, CA, USA",37.811286136,-122.1963370847,,,Impatiens balfourii,Kashmir Balsam
9043810,2017-05-14,research,"Monte Bello Open Space Preserve, Palo Alto, CA, USA",37.3201067819,-122.1679258347,,,Lathyrus cicera,Red Vetchling
9044776,2017-08-27,needs_id,"Pogonip, Santa Cruz, CA, USA",36.9847202784,-122.0419692993,,,Solanum douglasii,greenspot nightshade
9044811,2016-08-06,research,"Redwood Regional Park, Contra Costa County, CA, USA",37.8239096412,-122.1757026833,,,Sambucus cerulea,blue elder
9044851,2017-05-06,research,"Sunol Regional Wilderness, Alameda County, CA, USA",37.5123300561,-121.7974591255,,,Sambucus cerulea,blue elder
9044883,2016-05-22,research,"Joseph D. Grant County Park, San Jose, CA, USA",37.3192535548,-121.712808609,,,Sambucus cerulea,blue elder
