Pelecanus erythrorhynchos: ('species', 'Animalia', 4334, 'Pelecanus', 'genus')
Copsychus malabaricus: ('species', 'Animalia', 204490, 'Copsychus', 'genus')
Buteo jamaicensis: ('species', 'Animalia', 5212, 'Buteo', 'genus')
Cathartes aura: ('species', 'Animalia', 4756, 'Cathartes', 'genus')
Lynx rufus: ('species', 'Animalia', 41976, 'Lynx', 'genus')
Lumbricus terrestris: ('species', 'Animalia', 81545, 'Lumbricus', 'genus')
Nemognathinae: ('subfamily', 'Animalia', 127903, 'Meloidae', 'family')
Malacosoma constricta: ('species', 'Animalia', 477142, 'Malacosoma', 'genus')
Trimerotropis fontana: ('species', 'Animalia', 155260, 'Trimerotropis', 'genus')
Hyles lineata: ('species', 'Animalia', 49348, 'Hyles', 'genus')
Aglossa: ('genus', 'Animalia', 143609, 'Pyralidae', 'family')
Plestiodon gilberti gilberti: ('subspecies', 'Animalia', 115966, 'Plestiodon gilberti', 'species')
Pholcus phalangioides: ('species', 'Animalia', 67328, 'Pholcus', 'genus')
Argiope trifasciata kauaiensis: ('subspecies', 'Animalia', 349131, 'Argiope trifasciata', 'species')
Araneidae: ('family', 'Animalia', 47535, 'Araneae', 'order')
Zoropsis spinimana: ('species', 'Animalia', 127112, 'Zoropsis', 'genus')
Oenothera howardii: ('species', 'Plantae', 165801, 'Oenothera', 'genus')
Castilleja rubicundula lithospermoides: ('variety', 'Plantae', 57269, 'Castilleja rubicundula', 'species')
Dimorphotheca fruticosa: ('species', 'Plantae', 76661, 'Dimorphotheca', 'genus')
Lewisia rediviva: ('species', 'Plantae', 47360, 'Lewisia', 'genus')
Diplacus: ('genus', 'Plantae', 157750, 'Phrymaceae', 'family')
Vicia sativa: ('species', 'Plantae', 53324, 'Vicia', 'genus')
Tragopogon porrifolius: ('species', 'Plantae', 54141, 'Tragopogon', 'genus')
Spergularia rubra: ('species', 'Plantae', 55730, 'Spergularia', 'genus')
Impatiens balfourii: ('species', 'Plantae', 77490, 'Impatiens', 'genus')
Lathyrus cicera: ('species', 'Plantae', 59264, 'Lathyrus', 'genus')
Solanum douglasii: ('species', 'Plantae', 64105, 'Solanum', 'genus')
Sambucus cerulea: ('species', 'Plantae', 143799, 'Sambucus', 'genus')
Asclepias eriocarpa: ('species', 'Plantae', 58796, 'Asclepias', 'genus')
Micropus californicus: ('species', 'Plantae', 56975, 'Micropus', 'genus')
Cardamine californica: ('species', 'Plantae', 49651, 'Cardamine', 'genus')
Solidago velutina californica: ('subspecies', 'Plantae', 80217, 'Solidago velutina', 'species')
Holocarpha virgata virgata: ('subspecies', 'Plantae', 53102, 'Holocarpha virgata', 'species')
Trifolium campestre: ('species', 'Plantae', 57076, 'Trifolium', 'genus')
Sanicula bipinnata: ('species', 'Plantae', 57626, 'Sanicula', 'genus')
Acacia dealbata: ('species', 'Plantae', 53343, 'Acacia', 'genus')
Calendula arvensis: ('species', 'Plantae', 59260, 'Calendula', 'genus')
Gazania linearis: ('species', 'Plantae', 56951, 'Gazania', 'genus')
Agoseris hirsuta: ('species', 'Plantae', 61169, 'Agoseris', 'genus')
Ilex anomala: ('species', 'Plantae', 123617, 'Ilex', 'genus')
Zantedeschia aethiopica: ('species', 'Plantae', 56006, 'Zantedeschia', 'genus')
Mimosa pudica: ('species', 'Plantae', 51921, 'Mimosa', 'genus')
Pterolepis glomerata: ('species', 'Plantae', 167548, 'Pterolepis', 'genus')
Amanita: ('genus', 'Fungi', 48419, 'Amanitaceae', 'family')
Pseudohemihyalea labecula: ('species', 'Animalia', 366982, 'Pseudohemihyalea', 'genus')
Neotamias umbrinus: ('species', 'Animalia', 225757, 'Neotamias', 'genus')
Sciurus niger: ('species', 'Animalia', 46020, 'Sciurus', 'genus')
Lonicera hispidula: ('species', 'Plantae', 53416, 'Lonicera', 'genus')
Stephanomeria virgata: ('species', 'Plantae', 56985, 'Stephanomeria', 'genus')
